handle,why_fit,suggested_hook_template,priority,verification_status,recommended_action
@AltaFoxCapital,Long-short small-mid-cap fund manager running activist campaigns. Tweets ticker-specific theses frequently with documented entries/exits.,"Saw your [DATE] thread on $[TICKER]. Ran it through Tapeline's 6-factor composite — score [X], [signal label] driven mainly by [factor1] and [factor2]. The Smart Money factor (disclosed SEC Form 4 insider transactions, netted over a recent window) reads [observation]. Public scorecard: tapeline.io/scorecard. Curious what factor weighting you'd argue for in this name.",1,verified-stale,skip
@1MainCapital,Concentrated long-only fund manager sharing investment ideas. Posts deep-dive theses on specific names.,"Saw your [DATE] thesis on $[TICKER]. Tapeline scored it [X] today, with Fundamentals at [Y] (driven by [factor]) and Smart Money at [Z]. The 6-factor breakdown is at tapeline.io/t/[TICKER] — would value your read on whether the Macro factor is the right gating for a high-conviction name like this.",1,verified-closed-dms,skip
@JohnHuber72,Saber Capital portfolio manager. Long-horizon compounder focus. Posts thoughtful single-name pieces.,"Saw your [DATE] post on $[TICKER]. Tapeline composite is [X], with the Fundamentals sub-score at [Y]. That factor reads reported figures only — margin, return on equity, EPS and revenue growth, and an earnings multiple — so there is no cash-flow line in it at all, which is exactly what your long-horizon framing leans on. Curious whether you'd call that a fatal gap or an acceptable simplification.",1,verified-active,reply
@HaydenCapital,Hayden Capital CIO. International + US compounder ideas. Long-form thesis writer.,"Saw your [DATE] piece on $[TICKER]. Tapeline scored it [X] today; the divergence with the consensus rating is in the Smart Money factor — [observation]. Published methodology at tapeline.io/how-it-works. Smart Money there is disclosed Form 4 insider flow — not 13F, and not Congressional disclosure, which Tapeline publishes as a separate feed rather than folding into that sub-score. Would value your take on whether that's the right read for the kind of names you concentrate in.",2,verified-active,reply
@alluvialcapital,Alluvial Capital — microcap and special situations. Posts off-the-beaten-path names.,"Saw your [DATE] post on $[TICKER]. Tapeline ranks it [X]; the confidence pct is [Y]% because [data feed gaps] are sparse for sub-$200M caps. The full universe is ~2,500 names but the confidence weighting flags exactly the cohort you focus on. Curious if you'd find the confidence-weighted view useful as a screen.",2,verified-inactive,skip
@SuperMugatu,Tyro Partners portfolio manager. Posts shorts + longs on specific names with detailed reasoning.,"Saw your [DATE] short thesis on $[TICKER]. Tapeline's composite confirms the signal is [aligned/divergent]: Trend [X] / RS [Y] / Smart Money [Z]. Trend is the heaviest factor; if all three are below 50 the composite goes [<25 = WEAK label]. Public scorecard back-checks every miss.",1,verified-protected,skip
@TidefallCapital,Tidefall Capital CIO. Twitter, tech, and equity research.,"Saw your [DATE] tech-stock take. Tapeline scored $[TICKER] at [X] today; the Smart Money factor is [Y] driven by [Form 4 insider buying detail]. The full breakdown is at tapeline.io/t/[TICKER]. Would value your read on whether weighing tech names' insider buying differs from non-tech.",2,verified-active,reply
@Citrini7,Citrini Research. Megatrend-investing focus. Tweets thematic baskets with reasoning.,"Saw your [DATE] thread on the [MEGATREND] basket. Tapeline scores each of $[TICKERS] at [X/Y/Z] respectively. The thematic-basket score (avg of individual composites) lands at [W] which is [above/below] sector median. Curious whether you weight Macro factor higher for theme baskets like you'd implicitly do.",1,verified-protected,skip
@BillBrewsterSCG,Small/mid-cap equity research. Co-host of The Business Brew podcast.,"Saw your [DATE] take on $[TICKER]. Tapeline scored it [X]; the Fundamentals sub-score breaks down to [components]. Your Business Brew framework usually weighs quality higher than the market — Tapeline's Fundamentals factor might underweight that. Would you push it higher in the composite?",1,verified-handle-transferred,skip
@dirtcheapstocks,Microcap stock commentary. Aggressive deep-value focus.,"Saw your [DATE] post on $[TICKER]. Tapeline composite is [X], but the confidence pct is [Y]% — sub-$200M caps have sparse Fundamentals + Smart Money data. The composite would underrate names you'd flag as deep value. Would you find a 'high score AND low confidence' filter useful for surfacing the cohort you focus on?",2,unverified,reply
@10kdiver,Finance topics simplified into threads. Educational + methodological angles.,"Saw your [DATE] thread on [TOPIC]. Tapeline's published methodology at /how-it-works names all six factors and states their weight ordering — weighted most toward Trend and Relative Strength, least toward Momentum. The composite vs single-factor argument is what the public scorecard exists to settle, and the sample is not deep enough yet to settle it either way. Curious what factor you'd add weight to.",2,unverified,reply
@hhhypergrowth,Hypergrowth tech stock analysis. Single-name deep dives.,"Saw your [DATE] piece on $[TICKER]. Tapeline scored it [X]; Momentum at [Y] is high but Trend at [Z] hasn't fully confirmed yet. The scorecard logs where names with that shape landed the next session, winners and losers alike. Would your framework treat that gap as opportunity or risk?",2,unverified,reply
@iancassel,Microcap Club founder. Microcap investing advocacy + ideas.,"Saw your [DATE] post on $[TICKER]. Tapeline scored it [X] with confidence [Y]% — micro caps land 45-70 confidence vs mega caps' 88-96 because data feeds are sparse. Surface'd as a column on /app/scanner. Would the confidence pct as a separate filter change which names microcap investors prioritise?",1,unverified,reply
@Boros10,UK private investor. Value strategies + thoughtful methodology.,"Saw your [DATE] piece on [TOPIC]. Tapeline scores ~2,500 US tickers on six named factors; the Fundamentals one reads reported margin, return on equity, EPS and revenue growth, and an earnings multiple — no cash-flow line anywhere in it. Your write-ups suggest you weight cash-flow heavily. Curious whether you'd call that omission the biggest hole in a screen built this way.",3,unverified,reply
@MaynardPaton,Long-term quality investor + financial writer (AIM market focus).,"Saw your [DATE] write-up on $[TICKER]. Tapeline's quality filter (Fundamentals factor) lands [X] for it; return on equity is one of the reported inputs, and it is read against fixed bands rather than a sector median. Curious whether you'd argue for a sector-relative read, or for a multi-year ROE trend rather than the last reported figure — that's a methodology question I keep going back to.",3,unverified,reply
@netnethunter,Net-net value stock specialist. Posts specific NCAV picks.,"Saw your [DATE] post on $[TICKER]. Net-net names typically land low confidence on Tapeline (40-60) because Fundamentals isn't designed for negative-book-value-adjacent setups. Should the composite carve out a net-net mode that weighs Working Capital / Market Cap higher? Open methodology question.",3,unverified,reply
@AndrewRangeley,Mid-cap, value, investor-interview content.,"Saw your [DATE] interview write-up. Tapeline scored $[TICKER] at [X]; the Macro factor is the biggest divergence from most rating tools — it reads a single market-wide regime classification, the same reading for every ticker on a tick. Curious whether the value-investor framework you cover usually treats macro as 'ignore' or 'overlay'.",2,unverified,reply
@TSOH_Investing,Concentrated portfolio of compounder picks.,"Saw your [DATE] post on $[TICKER]. Tapeline's Trend factor is the heaviest of the six; for compounders the multi-month trend often confirms before fundamentals do. The composite captured [recent inflection]. Would your framework be more willing to act on Trend confirmation alone or wait for Fundamentals?",2,verified-active,reply
@RihardJarc,Growth technology investor.,"Saw your [DATE] piece on $[TICKER]. Tapeline scored it [X]; Momentum is [Y] and RS is [Z] — both high — but Trend is only [W]. That divergence is the most interesting signal on the page. Public scorecard back-checks how often that pattern resolves either way.",2,unverified,reply
@borrowed_ideas,Monthly equity analyst deep dives.,"Saw your [DATE] deep-dive on $[TICKER]. Tapeline composite is [X]; the contradicting reading is between Smart Money (insider buying) and Fundamentals (margin compression). Your framework usually unwinds those at the cash-flow line — curious what tier of evidence you need before acting on conflicting signals.",3,unverified,reply
@PythiaR,Compounder stock analysis and research.,"Saw your [DATE] post on $[TICKER]. Tapeline ranks it [X]; the Macro factor at [Y] is the biggest reason it's not higher — broader regime is fighting the setup. Compounder framework usually ignores Macro; curious whether you'd argue Tapeline weights Macro too heavily.",3,unverified,reply
@cpg_girl,Consumer packaged goods sector research.,"Saw your [DATE] piece on $[TICKER] (CPG sector). Tapeline's sector breakdown shows Consumer Staples avg score [X] this week vs Consumer Discretionary at [Y]. The 6-factor composite has a Macro factor, which helps CPG names that ride regime — curious whether you'd want a CPG-specific factor weighting (lower momentum, higher fundamentals).",3,unverified,reply
