Campaign,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
"Tapeline - Search Test (Jun 2026)","Track Record",1.75,"stock screener track record","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Track Record",1.75,"stock scanner track record","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Track Record",1.75,"stock screener with results","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Track Record",1.75,"transparent stock screener","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Track Record",1.75,"stock screener public results","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Track Record",1.75,"proven stock screener","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Track Record",,,,"Responsive search ad","Stock Screener Track Record","See The Picks vs SPY","A Screener That Shows Work","Public Stock Scorecard","Wins And Losses, All Public","Transparent Stock Scores","One Score Per US Stock","Nothing Quietly Deleted","Back-Checked Every Day","Plain-English Stock Picks","Free Stock Screener","Proof, Not Promises","Try Premium Free 14 Days","Score Every US Stock 0-100","See Why Each Stock Scores","Most screeners hide results. Tapeline publishes every daily top-10's return vs SPY.","Wins stay, losses stay, nothing gets quietly removed. Auditable from day one.","One 0-100 score and one plain-English sentence per US stock. Open formula.","Free tier on a delay, no card. Try Premium free for 14 days.","Track-Record","Public","https://tapeline.io/scorecard"
"Tapeline - Search Test (Jun 2026)","Best Stock Screener",1.50,"best stock screener","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Best Stock Screener",1.50,"best stock scanner","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Best Stock Screener",1.50,"ai stock screener","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Best Stock Screener",1.50,"stock ranking tool","Phrase",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Best Stock Screener",1.50,"stock screener","Exact",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Best Stock Screener",1.50,"stock scanner","Exact",,,,,,,,,,,,,,,,,,,,,,,
"Tapeline - Search Test (Jun 2026)","Best Stock Screener",,,,"Responsive search ad","Best Stock Screener 2026","One Score, Not 500 Filters","Stock Scanner With Proof","Public Stock Scorecard","Transparent Stock Scores","Score Every US Stock 0-100","See Every Pick vs SPY","Plain-English Stock Picks","Free Stock Screener","A Screener That Shows Work","Rank The Whole US Market","Wins And Losses, All Public","Try Premium Free 14 Days","No Credit Card To Start","Six Factors, One Number","Skip the 500-filter maze. Tapeline scores every US stock 0-100 with one clear reason.","Every daily top-10 is back-checked vs SPY on a public scorecard. Wins and losses stay.","Free tier is the real product on a delay. Pro from $24.99/mo billed annually.","Open 6-factor formula. See exactly why each stock scores what it does.","Stock","Screener","https://tapeline.io/best-stock-scanners"
